;N;GLU;BIL;KET;SG;BLO;pH;PRO;URO;NIT;LEU
24;random_stripes/24.png;500.0;2.0;-1.0;1.01;5.0;7.5;2.0;2.0;0.0;-1.0
25;random_stripes/25.png;2000.0;3.0;-1.0;1.025;2.0;7.0;2.0;1.0;0.0;3.0
26;random_stripes/26.png;250.0;-1.0;160.0;1.015;4.0;6.0;1.0;2.0;0.0;-1.0
27;random_stripes/27.png;250.0;2.0;5.0;1.005;5.0;5.0;4.0;2.0;1.0;-1.0
28;random_stripes/28.png;100.0;2.0;40.0;1.03;2.0;7.0;-1.0;2.0;0.0;0.0
29;random_stripes/29.png;100.0;1.0;160.0;1.005;4.0;8.5;2.0;4.0;-1.0;1.0
30;random_stripes/30.png;2000.0;1.0;-1.0;1.005;4.0;8.0;3.0;8.0;1.0;2.0
31;random_stripes/31.png;-1.0;2.0;80.0;1.0;5.0;8.0;3.0;0.2;-1.0;2.0
32;random_stripes/32.png;2000.0;3.0;15.0;1.01;3.0;8.5;2.0;0.2;0.0;0.0
33;random_stripes/33.png;500.0;-1.0;40.0;1.005;4.0;8.0;1.0;8.0;-1.0;2.0
34;random_stripes/34.png;100.0;-1.0;15.0;1.005;4.0;7.5;0.0;0.2;-1.0;1.0
35;random_stripes/35.png;2000.0;3.0;-1.0;1.02;5.0;8.5;0.0;1.0;1.0;3.0
36;random_stripes/36.png;100.0;3.0;160.0;1.005;3.0;7.0;-1.0;8.0;0.0;-1.0
37;random_stripes/37.png;100.0;2.0;40.0;1.0;3.0;8.0;3.0;2.0;1.0;3.0
38;random_stripes/38.png;-1.0;1.0;15.0;1.015;3.0;7.5;3.0;0.2;0.0;3.0
39;random_stripes/39.png;1000.0;-1.0;80.0;1.03;2.0;8.5;2.0;4.0;-1.0;-1.0
40;random_stripes/40.png;100.0;-1.0;-1.0;1.0;3.0;7.5;4.0;1.0;0.0;0.0
41;random_stripes/41.png;-1.0;2.0;-1.0;1.015;-1.0;7.0;0.0;8.0;1.0;-1.0
42;random_stripes/42.png;-1.0;1.0;80.0;1.015;3.0;8.5;2.0;8.0;-1.0;2.0
43;random_stripes/43.png;2000.0;-1.0;-1.0;1.005;3.0;7.5;3.0;8.0;-1.0;1.0
44;random_stripes/44.png;100.0;-1.0;-1.0;1.02;-1.0;7.5;0.0;1.0;-1.0;2.0
45;random_stripes/45.png;-1.0;2.0;80.0;1.0;3.0;6.5;0.0;8.0;0.0;0.0
46;random_stripes/46.png;2000.0;2.0;15.0;1.02;5.0;7.0;3.0;8.0;0.0;3.0
47;random_stripes/47.png;1000.0;2.0;15.0;1.03;2.0;6.0;3.0;8.0;0.0;0.0
48;random_stripes/48.png;2000.0;2.0;160.0;1.0;5.0;8.0;1.0;1.0;-1.0;1.0
49;random_stripes/49.png;100.0;2.0;80.0;1.025;2.0;7.5;3.0;0.2;0.0;2.0
50;random_stripes/50.png;1000.0;-1.0;-1.0;1.025;4.0;7.0;-1.0;4.0;-1.0;3.0
51;random_stripes/51.png;100.0;3.0;15.0;1.01;3.0;7.5;0.0;2.0;1.0;0.0
52;random_stripes/52.png;500.0;2.0;-1.0;1.02;3.0;8.5;1.0;0.2;0.0;0.0
53;random_stripes/53.png;500.0;2.0;-1.0;1.005;2.0;7.5;2.0;4.0;1.0;1.0
54;random_stripes/54.png;-1.0;1.0;-1.0;1.005;-1.0;7.0;-1.0;1.0;1.0;2.0
55;random_stripes/55.png;-1.0;-1.0;5.0;1.02;5.0;8.5;3.0;2.0;0.0;2.0
56;random_stripes/56.png;-1.0;3.0;5.0;1.025;2.0;7.5;4.0;4.0;-1.0;0.0
57;random_stripes/57.png;1000.0;1.0;-1.0;1.03;4.0;7.5;2.0;8.0;1.0;1.0
58;random_stripes/58.png;1000.0;1.0;-1.0;1.015;5.0;7.0;2.0;8.0;0.0;3.0
59;random_stripes/59.png;500.0;1.0;15.0;1.0;-1.0;6.5;2.0;2.0;1.0;-1.0
60;random_stripes/60.png;250.0;1.0;160.0;1.0;4.0;8.0;3.0;0.2;1.0;2.0
61;random_stripes/61.png;100.0;-1.0;5.0;1.01;-1.0;8.0;1.0;1.0;0.0;0.0
62;random_stripes/62.png;250.0;-1.0;15.0;1.0;5.0;7.0;4.0;8.0;0.0;2.0
63;random_stripes/63.png;100.0;-1.0;40.0;1.0;2.0;5.0;1.0;8.0;-1.0;1.0
64;random_stripes/64.png;500.0;3.0;5.0;1.005;4.0;7.5;0.0;8.0;1.0;3.0
65;random_stripes/65.png;1000.0;2.0;40.0;1.03;5.0;5.0;0.0;4.0;0.0;2.0
66;random_stripes/66.png;100.0;3.0;15.0;1.005;-1.0;7.0;3.0;1.0;-1.0;0.0
67;random_stripes/67.png;500.0;2.0;15.0;1.025;4.0;8.0;3.0;0.2;-1.0;-1.0
68;random_stripes/68.png;250.0;-1.0;160.0;1.02;3.0;8.5;1.0;8.0;-1.0;0.0
69;random_stripes/69.png;250.0;1.0;5.0;1.005;4.0;8.0;-1.0;1.0;0.0;0.0
70;random_stripes/70.png;1000.0;1.0;40.0;1.015;-1.0;7.0;2.0;1.0;-1.0;1.0
71;random_stripes/71.png;-1.0;3.0;160.0;1.01;3.0;7.5;3.0;8.0;0.0;2.0
72;random_stripes/72.png;100.0;3.0;40.0;1.015;3.0;8.0;4.0;1.0;0.0;-1.0
73;random_stripes/73.png;100.0;-1.0;160.0;1.03;-1.0;5.0;-1.0;0.2;-1.0;0.0
74;random_stripes/74.png;100.0;3.0;-1.0;1.01;4.0;8.5;1.0;8.0;-1.0;2.0
75;random_stripes/75.png;250.0;2.0;5.0;1.02;3.0;8.0;1.0;0.2;1.0;2.0
76;random_stripes/76.png;250.0;2.0;40.0;1.01;3.0;7.5;1.0;4.0;1.0;1.0
77;random_stripes/77.png;-1.0;2.0;15.0;1.03;3.0;7.0;3.0;1.0;0.0;2.0
78;random_stripes/78.png;1000.0;1.0;80.0;1.005;5.0;8.5;3.0;0.2;0.0;3.0
79;random_stripes/79.png;-1.0;-1.0;-1.0;1.03;2.0;6.0;4.0;2.0;1.0;0.0
80;random_stripes/80.png;-1.0;1.0;15.0;1.015;2.0;5.0;2.0;1.0;0.0;3.0
81;random_stripes/81.png;2000.0;2.0;15.0;1.02;4.0;8.0;0.0;2.0;1.0;2.0
82;random_stripes/82.png;250.0;1.0;160.0;1.015;3.0;7.0;4.0;2.0;0.0;3.0
83;random_stripes/83.png;250.0;3.0;80.0;1.005;-1.0;8.0;0.0;8.0;-1.0;-1.0
84;random_stripes/84.png;2000.0;3.0;5.0;1.005;4.0;6.5;3.0;2.0;0.0;-1.0
85;random_stripes/85.png;500.0;2.0;80.0;1.025;4.0;6.0;3.0;1.0;-1.0;1.0
86;random_stripes/86.png;2000.0;3.0;40.0;1.0;3.0;5.0;-1.0;2.0;0.0;0.0
87;random_stripes/87.png;2000.0;3.0;5.0;1.03;-1.0;6.5;1.0;2.0;0.0;3.0
88;random_stripes/88.png;250.0;3.0;5.0;1.025;4.0;8.0;0.0;4.0;-1.0;2.0
89;random_stripes/89.png;-1.0;2.0;160.0;1.01;-1.0;7.0;4.0;2.0;0.0;-1.0
90;random_stripes/90.png;500.0;1.0;-1.0;1.015;5.0;7.0;0.0;0.2;-1.0;1.0
91;random_stripes/91.png;100.0;1.0;15.0;1.01;3.0;5.0;0.0;4.0;0.0;3.0
92;random_stripes/92.png;250.0;2.0;5.0;1.025;4.0;6.5;0.0;2.0;-1.0;1.0
93;random_stripes/93.png;100.0;2.0;5.0;1.01;4.0;5.0;-1.0;8.0;1.0;0.0
94;random_stripes/94.png;2000.0;2.0;80.0;1.02;5.0;7.5;-1.0;4.0;-1.0;0.0
95;random_stripes/95.png;250.0;3.0;80.0;1.03;-1.0;8.0;3.0;2.0;0.0;3.0
96;random_stripes/96.png;250.0;3.0;160.0;1.03;5.0;8.5;-1.0;0.2;1.0;0.0
97;random_stripes/97.png;-1.0;3.0;5.0;1.025;-1.0;7.0;0.0;1.0;-1.0;0.0
98;random_stripes/98.png;1000.0;3.0;15.0;1.025;5.0;8.5;3.0;1.0;0.0;-1.0
99;random_stripes/99.png;100.0;-1.0;40.0;1.03;5.0;6.5;-1.0;0.2;0.0;1.0
